id,invert_label,lat,line,lon,name_en,name_ru,opened
192,0,55.650082084,10,37.7433961484,Maryino,Марьино,1996-12-25
193,1,55.6329780172,10,37.7434897634,Borisovo,Борисово,2011-12-02
194,1,55.6211775986,10,37.7439408852,Shipilovskaya,Шипиловская,2011-12-02
195,1,55.6123198462,10,37.7453890789,Zyablikovo,Зябликово,2011-12-02
196,0,55.6550199031,11A,37.6487275731,Kashirskaya,Каширская,1969-08-12
197,0,55.6533474442,11A,37.619386555,Varshavskaya,Варшавская,1969-08-11
198,1,55.6530372236,11A,37.5983649917,Kakhovskaya,Каховская,1969-08-11
199,1,55.6001108,12,37.5564674,Bittsevsky Park,Битцевский парк,2014-02-27
200,1,55.5820150315,12,37.5768582523,Lesoparkovaya,Лесопарковая,2014-02-27
201,1,55.5689928,12,37.5763748,Ulitsa Starokachalovskaya,Улица Старокачаловская,2003-12-27
202,0,55.5481606,12,37.5545984,Ulitsa Skobelevskaya,Улица Скобелевская,2003-12-27
203,0,55.5454833,12,37.5431878,Bulvar Admirala Ushakova,Бульвар Адмирала Ушакова,2003-12-27
204,0,55.5417384,12,37.5306687,Ulitsa Gorchakova,Улица Горчакова,2003-12-27
205,0,55.5381944,12,37.5165046,Buninskaya Alleya,Бунинская аллея,2003-12-27
206,0,55.8189683,13,37.5786581,Timiryazevskaya,Тимирязевская,2004-11-20
207,0,55.8218696,13,37.5910299,Ulitsa Milashenkova,Улица Милашенкова,2004-11-20
208,0,55.821913,13,37.60889,Teletsentr,Телецентр,2004-11-20
209,0,55.8218566,13,37.6270221,Ulitsa Akademika Korolyova,Улица Академика Королёва,2004-11-20
210,0,55.8243472,13,37.6388846,Vystavochny Tsentr,Выставочный центр,2004-11-20
211,0,55.8292233,13,37.6448067,Ulitsa Sergeya Eyzenshteyna,Улица Сергея Эйзенштейна,2004-11-20
212,0,55.848906055,14,37.5711261571,Okruzhnaya,Окружная,2016-09-10
213,0,55.8473374371,14,37.5919161936,Vladykino,Владыкино,2016-09-10
214,0,55.845538479,14,37.6392132058,Botanichesky Sad,Ботанический сад,2016-09-10
215,0,55.8400385,14,37.6654845,Rostokino,Ростокино,2016-09-10
216,0,55.8299439,14,37.7003834,Belokamennaya,Белокаменная,2016-09-10
217,0,55.8170189,14,37.7373101,Bulvar Rokossovskogo,Бульвар Рокоссовского,2016-09-10
218,0,55.8041346,14,37.7459609,Lokomotiv,Локомотив,2016-09-10
219,1,55.788178,14,37.7428518,Izmaylovo,Измайлово,2016-09-10
220,0,55.7713270062,14,37.7449997105,Sokolinaya Gora,Соколиная гора,2016-10-11
221,0,55.7589300419,14,37.7459299303,Shosse Entuziastov,Шоссе Энтузиастов,2016-09-10
222,0,55.7436975,14,37.7345552,Andronovka,Андроновка,2016-09-10
223,0,55.7322737197,14,37.7280462614,Nizhegorodskaya,Нижегородская,2016-09-10
224,0,55.7241804416,14,37.7169254943,Novokhokhlovskaya,Новохохловская,2016-09-10
225,0,55.7185119,14,37.6976497,Ugreshskaya,Угрешская,2016-09-10
226,0,55.7127099751,14,37.6778071066,Dubrovka,Дубровка,2016-10-11
227,0,55.7063865173,14,37.6631125436,Avtozavodskaya,Автозаводская,2016-09-10
228,0,55.6979482002,14,37.6475222124,ZIL,ЗИЛ,2016-09-10
229,0,55.6901674661,14,37.6188753437,Verkhnie Kotly,Верхние Котлы,2016-09-10
230,1,55.6900687,14,37.6052201,Krymskaya,Крымская,2016-09-10
231,1,55.7069779684,14,37.5864104929,Ploshchad Gagarina,Площадь Гагарина,2016-09-10
232,1,55.7204075,14,37.5621006,Luzhniki,Лужники,2016-09-10
233,1,55.7408588,14,37.5336644,Kutuzovskaya,Кутузовская,2016-09-10
234,1,55.7475717208,14,37.5321280407,Delovoy Tsentr,Деловой центр,2016-09-10
235,1,55.7573263428,14,37.5256743514,Shelepikha,Шелепиха,2016-09-10
236,1,55.7771463,14,37.5074052,Khoroshyovo,Хорошёво,2016-09-10
237,0,55.7885100424,14,37.5044086347,Zorge,Зорге,2016-11-04
238,1,55.7990269569,14,37.4990694788,Panfilovskaya,Панфиловская,2016-11-08
239,1,55.8137012,14,37.4870247,Streshnevo,Стрешнево,2016-09-10
240,1,55.8258189811,14,37.4964687496,Baltiyskaya,Балтийская,2016-09-10
241,0,55.8395568596,14,37.5201728475,Koptevo,Коптево,2016-11-01
242,1,55.8471434058,14,37.5514737479,Likhobory,Лихоборы,2016-09-10
